"Indexcd","Idxtrd01","Idxtrd08"
"000300","2011-12-29","0.148600"
"000300","2011-12-30","1.487400"
"000300","2012-01-04","-2.003200"
"000300","2012-01-05","-0.972700"
"000300","2012-01-06","0.624200"
"000300","2012-01-09","3.403900"
"000300","2012-01-10","3.326100"
"000300","2012-01-11","-0.479700"
"000300","2012-01-12","-0.016000"
"000300","2012-01-13","-1.679100"
"000300","2012-01-16","-2.033100"
"000300","2012-01-17","4.900600"
"000300","2012-01-18","-1.561000"
"000300","2012-01-19","1.905700"
"000300","2012-01-20","1.447900"
"000300","2012-01-30","-1.732000"
"000300","2012-01-31","0.143900"
"000300","2012-02-01","-1.431300"
"000300","2012-02-02","2.356900"
"000300","2012-02-03","0.798400"
"000300","2012-02-06","-0.070600"
"000300","2012-02-07","-1.851600"
"000300","2012-02-08","2.859700"
"000300","2012-02-09","0.039200"
"000300","2012-02-10","0.173600"
"000300","2012-02-13","-0.064700"
"000300","2012-02-14","-0.389800"
"000300","2012-02-15","1.090400"
"000300","2012-02-16","-0.531100"
"000300","2012-02-17","0.040200"
"000300","2012-02-20","0.142700"
"000300","2012-02-21","0.855700"
"000300","2012-02-22","1.367100"
"000300","2012-02-23","0.338000"
"000300","2012-02-24","1.602300"
"000300","2012-02-27","0.322900"
"000300","2012-02-28","0.221700"
"000300","2012-02-29","-1.063700"
"000300","2012-03-01","-0.030000"
"000300","2012-03-02","1.768800"
"000300","2012-03-05","-0.642900"
"000300","2012-03-06","-1.564200"
"000300","2012-03-07","-0.688300"
"000300","2012-03-08","1.259300"
"000300","2012-03-09","1.081600"
"000300","2012-03-12","-0.371600"
"000300","2012-03-13","1.004700"
"000300","2012-03-14","-2.833200"
"000300","2012-03-15","-0.750800"
"000300","2012-03-16","1.468500"
"000300","2012-03-19","0.247400"
"000300","2012-03-20","-1.732300"
"000300","2012-03-21","0.129200"
"000300","2012-03-22","-0.156100"
"000300","2012-03-23","-1.192500"
"000300","2012-03-26","0.097900"
"000300","2012-03-27","-0.324800"
"000300","2012-03-28","-2.836100"
"000300","2012-03-29","-1.284000"
"000300","2012-03-30","0.482000"
"000300","2012-04-05","2.359900"
"000300","2012-04-06","0.278500"
"000300","2012-04-09","-0.979600"
"000300","2012-04-10","0.987600"
"000300","2012-04-11","0.009800"
"000300","2012-04-12","2.000000"
"000300","2012-04-13","0.389700"
"000300","2012-04-16","-0.248400"
"000300","2012-04-17","-1.249400"
"000300","2012-04-18","2.282800"
"000300","2012-04-19","-0.148200"
"000300","2012-04-20","1.185800"
"000300","2012-04-23","-0.791900"
"000300","2012-04-24","-0.045000"
"000300","2012-04-25","0.810900"
"000300","2012-04-26","0.209300"
"000300","2012-04-27","-0.202500"
"000300","2012-05-02","2.183000"
"000300","2012-05-03","0.299300"
"000300","2012-05-04","0.905100"
"000300","2012-05-07","0.069900"
"000300","2012-05-08","-0.318700"
"000300","2012-05-09","-1.904800"
"000300","2012-05-10","-0.011300"
"000300","2012-05-11","-0.763800"
"000300","2012-05-14","-0.810900"
"000300","2012-05-15","0.070300"
"000300","2012-05-16","-1.632400"
"000300","2012-05-17","1.526200"
"000300","2012-05-18","-1.529000"
"000300","2012-05-21","0.515000"
"000300","2012-05-22","1.557400"
"000300","2012-05-23","-0.405600"
"000300","2012-05-24","-0.825800"
"000300","2012-05-25","-0.853700"
"000300","2012-05-28","1.616200"
"000300","2012-05-29","1.383100"
"000300","2012-05-30","-0.324300"
"000300","2012-05-31","-0.386600"
"000300","2012-06-01","0.036300"
"000300","2012-06-04","-2.809400"
"000300","2012-06-05","-0.007200"
"000300","2012-06-06","-0.056300"
"000300","2012-06-07","-0.595000"
"000300","2012-06-08","-0.702300"
"000300","2012-06-11","1.344400"
"000300","2012-06-12","-0.707000"
"000300","2012-06-13","1.592700"
"000300","2012-06-14","-0.783300"
"000300","2012-06-15","0.298100"
"000300","2012-06-18","0.512400"
"000300","2012-06-19","-0.875200"
"000300","2012-06-20","-0.234900"
"000300","2012-06-21","-1.583700"
"000300","2012-06-25","-2.215900"
"000300","2012-06-26","-0.065300"
"000300","2012-06-27","-0.314500"
"000300","2012-06-28","-0.877200"
"000300","2012-06-29","1.479300"
"000300","2012-07-02","0.147300"
"000300","2012-07-03","0.141300"
"000300","2012-07-04","-0.154000"
"000300","2012-07-05","-1.401600"
"000300","2012-07-06","1.738200"
"000300","2012-07-09","-2.288200"
"000300","2012-07-10","-0.386200"
"000300","2012-07-11","0.783900"
"000300","2012-07-12","0.973300"
"000300","2012-07-13","0.059300"
"000300","2012-07-16","-2.077100"
"000300","2012-07-17","0.603000"
"000300","2012-07-18","0.005600"
"000300","2012-07-19","0.413700"
"000300","2012-07-20","-1.067000"
"000300","2012-07-23","-1.376900"
"000300","2012-07-24","0.446500"
"000300","2012-07-25","-0.669600"
"000300","2012-07-26","-0.533700"
"000300","2012-07-27","0.069000"
"000300","2012-07-30","-0.566800"
"000300","2012-07-31","-0.122900"
"000300","2012-08-01","1.102900"
"000300","2012-08-02","-1.007700"
"000300","2012-08-03","0.807500"
"000300","2012-08-06","1.354200"
"000300","2012-08-07","0.136700"
"000300","2012-08-08","0.038600"
"000300","2012-08-09","0.916600"
"000300","2012-08-10","-0.495500"
"000300","2012-08-13","-1.992700"
"000300","2012-08-14","0.216200"
"000300","2012-08-15","-1.077700"
"000300","2012-08-16","-0.512300"
"000300","2012-08-17","-0.267000"
"000300","2012-08-20","-0.505200"
"000300","2012-08-21","0.517600"
"000300","2012-08-22","-0.783000"
"000300","2012-08-23","0.288100"
"000300","2012-08-24","-1.152000"
"000300","2012-08-27","-2.086100"
"000300","2012-08-28","0.458100"
"000300","2012-08-29","-1.054200"
"000300","2012-08-30","-0.155500"
"000300","2012-08-31","-0.294000"
"000300","2012-09-03","1.065900"
"000300","2012-09-04","-1.075300"
"000300","2012-09-05","-0.205600"
"000300","2012-09-06","0.815900"
"000300","2012-09-07","4.479900"
"000300","2012-09-10","0.409400"
"000300","2012-09-11","-0.635100"
"000300","2012-09-12","0.353900"
"000300","2012-09-13","-0.931400"
"000300","2012-09-14","0.743100"
"000300","2012-09-17","-2.454600"
"000300","2012-09-18","-1.038900"
"000300","2012-09-19","0.492000"
"000300","2012-09-20","-2.238600"
"000300","2012-09-21","0.141700"
"000300","2012-09-24","0.748200"
"000300","2012-09-25","-0.242000"
"000300","2012-09-26","-1.143000"
"000300","2012-09-27","3.058600"
"000300","2012-09-28","1.838100"
"000300","2012-10-08","-1.005300"
"000300","2012-10-09","2.207100"
"000300","2012-10-10","0.170700"
"000300","2012-10-11","-0.928700"
"000300","2012-10-12","0.086800"
"000300","2012-10-15","-0.419800"
"000300","2012-10-16","0.144000"
"000300","2012-10-17","0.114900"
"000300","2012-10-18","1.533100"
"000300","2012-10-19","-0.154400"
"000300","2012-10-22","0.391100"
"000300","2012-10-23","-1.260500"
"000300","2012-10-24","-0.185900"
"000300","2012-10-25","-0.716700"
"000300","2012-10-26","-1.891200"
"000300","2012-10-29","-0.536200"
"000300","2012-10-30","0.180200"
"000300","2012-10-31","0.666900"
"000300","2012-11-01","1.909900"
"000300","2012-11-02","0.386900"
"000300","2012-11-05","-0.212200"
"000300","2012-11-06","-0.420300"
"000300","2012-11-07","-0.205100"
"000300","2012-11-08","-1.840400"
"000300","2012-11-09","-0.199600"
"000300","2012-11-12","0.487500"
"000300","2012-11-13","-1.750000"
"000300","2012-11-14","0.482300"
"000300","2012-11-15","-1.326400"
"000300","2012-11-16","-0.746800"
"000300","2012-11-19","-0.103600"
"000300","2012-11-20","-0.464600"
"000300","2012-11-21","1.386500"
"000300","2012-11-22","-0.790500"
"000300","2012-11-23","0.694800"
"000300","2012-11-26","-0.778800"
"000300","2012-11-27","-1.147300"
"000300","2012-11-28","-0.998600"
"000300","2012-11-29","-0.633300"
"000300","2012-11-30","1.133700"
"000300","2012-12-03","-1.440000"
"000300","2012-12-04","1.072800"
"000300","2012-12-05","3.584600"
"000300","2012-12-06","-0.193700"
"000300","2012-12-07","1.958400"
"000300","2012-12-10","1.081100"
"000300","2012-12-11","-0.552400"
"000300","2012-12-12","0.410300"
"000300","2012-12-13","-1.108200"
"000300","2012-12-14","5.049000"
"000300","2012-12-17","0.459900"
"000300","2012-12-18","0.060000"
"000300","2012-12-19","0.126200"
"000300","2012-12-20","0.578100"
"000300","2012-12-21","-0.537300"
"000300","2012-12-24","0.388500"
"000300","2012-12-25","2.821200"
"000300","2012-12-26","0.376700"
"000300","2012-12-27","-0.530000"
"000300","2012-12-28","1.450300"
"000300","2012-12-31","1.729900"
"000300","2013-01-04","0.057700"
"000300","2013-01-07","0.458600"
"000300","2013-01-08","-0.420200"
"000300","2013-01-09","0.031500"
"000300","2013-01-10","0.175900"
"000300","2013-01-11","-1.870700"
"000300","2013-01-14","3.805300"
"000300","2013-01-15","0.703400"
"000300","2013-01-16","-0.722800"
"000300","2013-01-17","-0.944200"
"000300","2013-01-18","1.672000"
"000300","2013-01-21","0.595600"
"000300","2013-01-22","-0.536200"
"000300","2013-01-23","0.406600"
"000300","2013-01-24","-0.947300"
"000300","2013-01-25","-0.429000"
"000300","2013-01-28","3.118200"
"000300","2013-01-29","0.905100"
"000300","2013-01-30","0.480000"
"000300","2013-01-31","-0.068000"
"000300","2013-02-01","2.100700"
"000300","2013-02-04","0.171500"
"000300","2013-02-05","0.860500"
"000300","2013-02-06","0.150400"
"000300","2013-02-07","-0.575500"
"000300","2013-02-08","0.429500"
"000300","2013-02-18","-1.235800"
"000300","2013-02-19","-1.894600"
"000300","2013-02-20","0.634100"
"000300","2013-02-21","-3.407300"
"000300","2013-02-22","-0.534200"
"000300","2013-02-25","0.321800"
"000300","2013-02-26","-1.434400"
"000300","2013-02-27","1.054800"
"000300","2013-02-28","3.031200"
"000300","2013-03-01","-0.168000"
"000300","2013-03-04","-4.613300"
"000300","2013-03-05","3.028300"
"000300","2013-03-06","1.044500"
"000300","2013-03-07","-1.159300"
"000300","2013-03-08","-0.479200"
"000300","2013-03-11","-0.558300"
"000300","2013-03-12","-1.417900"
"000300","2013-03-13","-1.100700"
"000300","2013-03-14","0.268500"
"000300","2013-03-15","0.221000"
"000300","2013-03-18","-1.471700"
"000300","2013-03-19","0.903300"
"000300","2013-03-20","3.369300"
"000300","2013-03-21","0.184400"
"000300","2013-03-22","0.127000"
"000300","2013-03-25","-0.199000"
"000300","2013-03-26","-1.456000"
"000300","2013-03-27","0.329300"
"000300","2013-03-28","-3.260200"
"000300","2013-03-29","-0.168800"
"000300","2013-04-01","-0.076000"
"000300","2013-04-02","-0.272600"
"000300","2013-04-03","-0.114400"
"000300","2013-04-08","-0.452900"
"000300","2013-04-09","0.692900"
"000300","2013-04-10","-0.165500"
"000300","2013-04-11","-0.299100"
"000300","2013-04-12","-0.636200"
